681,1882,11793714
4935,1882,16020368
3401,1882,8996292
5836,1882,15355399
5489,1882,15613808
4295,1882,11782211
4636,1882,16838539
5930,1882,14750511
2598,1882,17790532
1501,1882,15450137
551,1882,16673166
3871,1882,14884224
1080,1882,15075830
3422,1882,13164731
4303,1882,1495142
5378,1882,12360931
1532,1882,15789048
3688,1882,12297545
693,1882,11959248
1368,1882,16464256
3903,1882,19750903
856,1882,15707693
4099,1882,15714664
1590,1882,14100695
732,1882,14996978
821,1882,15503072
4313,1882,303935
362,1882,15871724
3125,1882,12456560
2442,1882,972508
253,1882,11955675
3953,1882,14499324
5931,1882,12711781
270,1882,12367699
1872,1882,411540
4604,1882,13008028
1831,1882,11926020
3654,1882,12193252
1267,1882,12310511
4059,1882,13219739
3678,1882,14705720
1995,1882,11991552
2954,1882,12141884
5952,1882,11817755
1369,1882,16145006
2779,1882,15953397
5393,1882,13534115
5891,1882,14563994
3489,1882,20524
4743,1882,21001181
4721,1882,16126991
5157,1882,20046656
2254,1882,13327553
8199,1882,13340517
2275,1882,12379833
4624,1882,15840488
5106,1882,13506608
25,1882,16966139
2733,1882,16007496
2437,1882,1081310
2685,1882,16212413
2491,1882,18735272
1348,1882,493692
5477,1882,14326671
4538,1882,12368647
8860,1882,10239924
5710,1882,16130519
2940,1882,18381015
3989,1882,12295675
2833,1882,18452547
4992,1882,15672617
2485,1882,12364723
5874,1882,4922571
2150,1882,16008934
2616,1882,15775044
2200,1882,18894688
553,1882,10395189
3004,1882,1127641
4638,1882,12790866
5094,1882,16390819
5678,1882,11922849
238,1882,9262440
1802,1882,17362186
4114,1882,13248311
4722,1882,16043608
4682,1882,12159662
3381,1882,17131724
2313,1882,4473298
4002,1882,14746938
2935,1882,12128224
1399,1882,21294191
950,1882,3681302
2900,1882,12133980
1600,1882,9126660
1697,1882,12137429
2107,1882,14380125
1949,1882,12386508
4165,1882,14963349
205,1882,12082685
2550,1882,12775826
639,1882,16158864
2503,1882,7178964
2756,1882,12223525
5201,1882,19019343
2969,1882,17521401
1504,1882,2060093
3350,1882,16868238
1100,1882,15453824
2897,1882,16417378
1408,1882,16803813
2248,1882,12287663
5569,1882,15450275
