date,type,tree0,tree1,tree2,tree3
1978,T,"
GTreeNodeBase [Childs=2] - [*]
  GTreeNodeBase [Childs=0] - [[1.95, 'CommonNeighbors']]
  GTreeNodeBase [Childs=0] - [[8.09, 'TargClustering']]
","
GTreeNodeBase [Childs=0] - [[1.95, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=0] - [[3.4, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=0] - [[1.95, 'CommonNeighbors']]
"
1978,TL,"
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[4.44, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [*]
  GTreeNodeBase [Childs=0] - [[1.09, 'SameCommunity']]
  GTreeNodeBase [Childs=0] - [[3.99, 'TargClustering']]
","
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[4.44, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [min]
  GTreeNodeBase [Childs=0] - [[1.9, 'SameCommunity']]
  GTreeNodeBase [Childs=0] - [[3.99, 'TargClustering']]
"
1979,all,"
GTreeNodeBase [Childs=0] - [[15.17, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=0] - [[6.83, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [+]
  GTreeNodeBase [Childs=0] - [[3.45, 'CommonNeighbors']]
  GTreeNodeBase [Childs=2] - [<]
    GTreeNodeBase [Childs=0] - [[6.62, 'OrigEccentricity']]
    GTreeNodeBase [Childs=0] - [[3.45, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=0] - [[6.83, 'CommonNeighbors']]
"
1979,B,"
GTreeNodeBase [Childs=2] - [min]
  GTreeNodeBase [Childs=0] - [[6.84, 'NormalizedOrigDegree']]
  GTreeNodeBase [Childs=0] - [[3.38, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [min]
  GTreeNodeBase [Childs=0] - [[9.52, 'SameCommunity']]
  GTreeNodeBase [Childs=0] - [[8.04, 'TargClustering']]
","
GTreeNodeBase [Childs=2] - [min]
  GTreeNodeBase [Childs=0] - [[6.74, 'Loop']]
  GTreeNodeBase [Childs=2] - [min]
    GTreeNodeBase [Childs=2] - [-]
      GTreeNodeBase [Childs=0] - [[7.57, 'Constant']]
      GTreeNodeBase [Childs=0] - [[0.29, 'Constant']]
    GTreeNodeBase [Childs=0] - [[6.74, 'TargClustering']]
","
GTreeNodeBase [Childs=2] - [min]
  GTreeNodeBase [Childs=2] - [abs]
    GTreeNodeBase [Childs=0] - [[4.67, 'OrigClustering']]
  GTreeNodeBase [Childs=0] - [[3.38, 'CommonNeighbors']]
"
1979,C,"
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[4.27, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[4.27, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[4.27, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[4.27, 'CommonNeighbors']]
"
1979,L,"
GTreeNodeBase [Childs=2] - [max]
  GTreeNodeBase [Childs=2] - [opp]
    GTreeNodeBase [Childs=0] - [[1.43, 'TargCoreN']]
  GTreeNodeBase [Childs=2] - [exp]
    GTreeNodeBase [Childs=0] - [[3.8, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [max]
  GTreeNodeBase [Childs=2] - [opp]
    GTreeNodeBase [Childs=0] - [[1.43, 'TargCoreN']]
  GTreeNodeBase [Childs=2] - [exp]
    GTreeNodeBase [Childs=0] - [[3.8, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[3.8, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [max]
  GTreeNodeBase [Childs=2] - [opp]
    GTreeNodeBase [Childs=0] - [[1.43, 'TargCoreN']]
  GTreeNodeBase [Childs=2] - [exp]
    GTreeNodeBase [Childs=0] - [[3.8, 'CommonNeighbors']]
"
1979,T,"
GTreeNodeBase [Childs=2] - [*]
  GTreeNodeBase [Childs=0] - [[0.59, 'CommonNeighbors']]
  GTreeNodeBase [Childs=0] - [[0.59, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [abs]
  GTreeNodeBase [Childs=0] - [[0.59, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [abs]
  GTreeNodeBase [Childs=0] - [[0.59, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=0] - [[0.59, 'CommonNeighbors']]
"
1979,TL,"
GTreeNodeBase [Childs=2] - [min]
  GTreeNodeBase [Childs=2] - [*]
    GTreeNodeBase [Childs=0] - [[10.51, 'NormalizedOrigDegree']]
    GTreeNodeBase [Childs=0] - [[1.38, 'SameCommunity']]
  GTreeNodeBase [Childs=0] - [[0.44, 'OrigClustering']]
","
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[4.94, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[4.94, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[4.94, 'CommonNeighbors']]
"
1980,all,"
GTreeNodeBase [Childs=0] - [[4.76, 'Loop']]
","
GTreeNodeBase [Childs=2] - [log]
  GTreeNodeBase [Childs=2] - [/]
    GTreeNodeBase [Childs=0] - [[4.76, 'Loop']]
    GTreeNodeBase [Childs=0] - [[0.86, 'TargId']]
","
GTreeNodeBase [Childs=0] - [[12.3, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [log]
  GTreeNodeBase [Childs=0] - [[16.82, 'CommonNeighbors']]
"
1980,B,"
GTreeNodeBase [Childs=2] - [N]
  GTreeNodeBase [Childs=2] - [-]
    GTreeNodeBase [Childs=0] - [[0.71, 'Distance']]
    GTreeNodeBase [Childs=2] - [=]
      GTreeNodeBase [Childs=2] - [opp]
        GTreeNodeBase [Childs=0] - [[10.22, 'OrigCoreN']]
      GTreeNodeBase [Childs=0] - [[4.73, 'TargEccentricity']]
","
GTreeNodeBase [Childs=2] - [N]
  GTreeNodeBase [Childs=2] - [log]
    GTreeNodeBase [Childs=0] - [[0.71, 'Distance']]
","
GTreeNodeBase [Childs=2] - [N]
  GTreeNodeBase [Childs=2] - [-]
    GTreeNodeBase [Childs=0] - [[0.71, 'Distance']]
    GTreeNodeBase [Childs=2] - [=]
      GTreeNodeBase [Childs=2] - [opp]
        GTreeNodeBase [Childs=0] - [[10.22, 'OrigCoreN']]
      GTreeNodeBase [Childs=2] - [+]
        GTreeNodeBase [Childs=0] - [[3.12, 'NormalizedOrigId']]
        GTreeNodeBase [Childs=0] - [[5.17, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [N]
  GTreeNodeBase [Childs=2] - [-]
    GTreeNodeBase [Childs=2] - [-]
      GTreeNodeBase [Childs=0] - [[7.81, 'Distance']]
      GTreeNodeBase [Childs=2] - [=]
        GTreeNodeBase [Childs=0] - [[0.03, 'Random']]
        GTreeNodeBase [Childs=2] - [opp]
          GTreeNodeBase [Childs=0] - [[2.54, 'NormalizedTargDegree']]
    GTreeNodeBase [Childs=0] - [[1.26, 'TargDegree']]
"
