date,type,tree0,tree1,tree2,tree3
2004,A,"
GTreeNodeBase [Childs=0] - [[7.11, 'TargBetweenness']]
","
GTreeNodeBase [Childs=0] - [[2.37, 'TargBetweenness']]
","
GTreeNodeBase [Childs=0] - [[5.02, 'OrigBetweenness']]
","
GTreeNodeBase [Childs=0] - [[2.48, 'OrigBetweenness']]
"
2004,B,"
GTreeNodeBase [Childs=2] - [max]
  GTreeNodeBase [Childs=2] - [log]
    GTreeNodeBase [Childs=2] - [opp]
      GTreeNodeBase [Childs=0] - [[5.67, 'TargBetweenness']]
  GTreeNodeBase [Childs=0] - [[9.25, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [max]
  GTreeNodeBase [Childs=2] - [log]
    GTreeNodeBase [Childs=2] - [opp]
      GTreeNodeBase [Childs=0] - [[10.65, 'TargBetweenness']]
  GTreeNodeBase [Childs=0] - [[4.87, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [max]
  GTreeNodeBase [Childs=2] - [log]
    GTreeNodeBase [Childs=2] - [opp]
      GTreeNodeBase [Childs=0] - [[10.65, 'TargBetweenness']]
  GTreeNodeBase [Childs=0] - [[4.87, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [max]
  GTreeNodeBase [Childs=2] - [log]
    GTreeNodeBase [Childs=2] - [opp]
      GTreeNodeBase [Childs=0] - [[10.65, 'TargBetweenness']]
  GTreeNodeBase [Childs=0] - [[4.87, 'CommonNeighbors']]
"
2004,C,"
GTreeNodeBase [Childs=2] - [max]
  GTreeNodeBase [Childs=0] - [[4.12, 'Loop']]
  GTreeNodeBase [Childs=2] - [exp]
    GTreeNodeBase [Childs=0] - [[2.86, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [max]
  GTreeNodeBase [Childs=0] - [[4.12, 'Loop']]
  GTreeNodeBase [Childs=2] - [exp]
    GTreeNodeBase [Childs=0] - [[2.86, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[2.86, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[2.86, 'CommonNeighbors']]
"
2004,L,"
GTreeNodeBase [Childs=0] - [[0.79, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [H]
  GTreeNodeBase [Childs=2] - [N]
    GTreeNodeBase [Childs=2] - [*]
      GTreeNodeBase [Childs=2] - [=]
        GTreeNodeBase [Childs=0] - [[2.55, 'NormalizedRevDistance']]
        GTreeNodeBase [Childs=0] - [[4.09, 'TargBetweenness']]
      GTreeNodeBase [Childs=0] - [[1.17, 'Distance']]
","
GTreeNodeBase [Childs=2] - [*]
  GTreeNodeBase [Childs=0] - [[4.04, 'SameCommunity']]
  GTreeNodeBase [Childs=0] - [[1.93, 'TargCoreN']]
","
GTreeNodeBase [Childs=2] - [*]
  GTreeNodeBase [Childs=2] - [exp]
    GTreeNodeBase [Childs=0] - [[1.76, 'CommonNeighbors']]
  GTreeNodeBase [Childs=2] - [*]
    GTreeNodeBase [Childs=0] - [[2.39, 'TargDegree']]
    GTreeNodeBase [Childs=0] - [[1.76, 'SameCommunity']]
"
2004,T,"
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[2.8, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[2.8, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[2.28, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[2.8, 'CommonNeighbors']]
"
2004,TL,"
GTreeNodeBase [Childs=0] - [[5.66, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=0] - [[6.86, 'Loop']]
","
GTreeNodeBase [Childs=0] - [[5.66, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=0] - [[5.66, 'CommonNeighbors']]
"
2005,A,"
GTreeNodeBase [Childs=0] - [[1.65, 'TargBetweenness']]
","
GTreeNodeBase [Childs=0] - [[9.69, 'TargBetweenness']]
","
GTreeNodeBase [Childs=2] - [opp]
  GTreeNodeBase [Childs=2] - [opp]
    GTreeNodeBase [Childs=0] - [[1.65, 'TargBetweenness']]
","
GTreeNodeBase [Childs=0] - [[1.65, 'TargBetweenness']]
"
2005,B,"
GTreeNodeBase [Childs=0] - [[4.3, 'Loop']]
","
GTreeNodeBase [Childs=0] - [[0.63, 'Loop']]
","
GTreeNodeBase [Childs=0] - [[5.9, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=0] - [[5.9, 'CommonNeighbors']]
"
2005,C,"
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[4.61, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[4.61, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[4.61, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=0] - [[0.55, 'CommonNeighbors']]
"
2005,L,"
GTreeNodeBase [Childs=2] - [-]
  GTreeNodeBase [Childs=2] - [exp]
    GTreeNodeBase [Childs=0] - [[1.29, 'CommonNeighbors']]
  GTreeNodeBase [Childs=2] - [<]
    GTreeNodeBase [Childs=2] - [-]
      GTreeNodeBase [Childs=2] - [-]
        GTreeNodeBase [Childs=0] - [[3.31, 'Distance']]
        GTreeNodeBase [Childs=2] - [opp]
          GTreeNodeBase [Childs=0] - [[5.37, 'OrigPagerank']]
      GTreeNodeBase [Childs=2] - [/]
        GTreeNodeBase [Childs=2] - [exp]
          GTreeNodeBase [Childs=0] - [[12.31, 'TargEccentricity']]
        GTreeNodeBase [Childs=0] - [[9.1, 'Distance']]
    GTreeNodeBase [Childs=2] - [-]
      GTreeNodeBase [Childs=0] - [[6.48, 'Constant']]
      GTreeNodeBase [Childs=0] - [[3.26, 'Distance']]
","
GTreeNodeBase [Childs=2] - [-]
  GTreeNodeBase [Childs=2] - [exp]
    GTreeNodeBase [Childs=0] - [[1.29, 'CommonNeighbors']]
  GTreeNodeBase [Childs=2] - [<]
    GTreeNodeBase [Childs=2] - [-]
      GTreeNodeBase [Childs=2] - [-]
        GTreeNodeBase [Childs=0] - [[3.31, 'Distance']]
        GTreeNodeBase [Childs=2] - [/]
          GTreeNodeBase [Childs=2] - [exp]
            GTreeNodeBase [Childs=0] - [[12.31, 'TargEccentricity']]
          GTreeNodeBase [Childs=0] - [[3.89, 'CommonNeighbors']]
      GTreeNodeBase [Childs=2] - [/]
        GTreeNodeBase [Childs=2] - [exp]
          GTreeNodeBase [Childs=0] - [[12.31, 'TargEccentricity']]
        GTreeNodeBase [Childs=0] - [[9.1, 'Distance']]
    GTreeNodeBase [Childs=2] - [-]
      GTreeNodeBase [Childs=2] - [opp]
        GTreeNodeBase [Childs=0] - [[15.98, 'Distance']]
      GTreeNodeBase [Childs=0] - [[3.26, 'Distance']]
","
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=2] - [exp]
    GTreeNodeBase [Childs=0] - [[1.28, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [-]
  GTreeNodeBase [Childs=2] - [exp]
    GTreeNodeBase [Childs=0] - [[1.29, 'CommonNeighbors']]
  GTreeNodeBase [Childs=2] - [<]
    GTreeNodeBase [Childs=2] - [min]
      GTreeNodeBase [Childs=2] - [-]
        GTreeNodeBase [Childs=2] - [*]
          GTreeNodeBase [Childs=0] - [[1.46, 'NormalizedTargDegree']]
          GTreeNodeBase [Childs=0] - [[1.11, 'NormalizedDistance']]
        GTreeNodeBase [Childs=2] - [*]
          GTreeNodeBase [Childs=0] - [[6.45, 'OrigEccentricity']]
          GTreeNodeBase [Childs=0] - [[3.5, 'TargCoreN']]
      GTreeNodeBase [Childs=0] - [[3.26, 'Distance']]
    GTreeNodeBase [Childs=2] - [-]
      GTreeNodeBase [Childs=0] - [[1.43, 'RevDistance']]
      GTreeNodeBase [Childs=2] - [/]
        GTreeNodeBase [Childs=2] - [>]
          GTreeNodeBase [Childs=0] - [[5.16, 'OrigCloseness']]
          GTreeNodeBase [Childs=0] - [[6.22, 'Constant']]
        GTreeNodeBase [Childs=0] - [[8.53, 'TargBetweenness']]
"
2005,T,"
GTreeNodeBase [Childs=2] - [>]
  GTreeNodeBase [Childs=0] - [[7.78, 'NormalizedDistance']]
  GTreeNodeBase [Childs=0] - [[1.85, 'NormalizedDistance']]
","
GTreeNodeBase [Childs=0] - [[14.5, 'Loop']]
","
GTreeNodeBase [Childs=2] - [>]
  GTreeNodeBase [Childs=0] - [[1.09, 'Loop']]
  GTreeNodeBase [Childs=0] - [[1.85, 'NormalizedDistance']]
","
GTreeNodeBase [Childs=2] - [+]
  GTreeNodeBase [Childs=0] - [[1.09, 'Loop']]
  GTreeNodeBase [Childs=0] - [[1.09, 'Loop']]
"
2005,TL,"
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[3.84, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[3.84, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[4.05, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=0] - [[3.84, 'CommonNeighbors']]
"
2006,A,"
GTreeNodeBase [Childs=0] - [[1.85, 'TargBetweenness']]
","
GTreeNodeBase [Childs=0] - [[2.6, 'OrigBetweenness']]
","
GTreeNodeBase [Childs=0] - [[1.85, 'TargBetweenness']]
","
GTreeNodeBase [Childs=0] - [[0.41, 'TargBetweenness']]
"
2006,B,"
GTreeNodeBase [Childs=0] - [[2.02, 'Loop']]
","
GTreeNodeBase [Childs=2] - [inv]
  GTreeNodeBase [Childs=0] - [[2.65, 'TargId']]
","
GTreeNodeBase [Childs=0] - [[1.56, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [*]
  GTreeNodeBase [Childs=0] - [[2.42, 'OrigBetweenness']]
  GTreeNodeBase [Childs=2] - [>]
    GTreeNodeBase [Childs=0] - [[8.02, 'Random']]
    GTreeNodeBase [Childs=0] - [[0.11, 'Distance']]
"
2006,C,"
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[5.6, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [*]
  GTreeNodeBase [Childs=2] - [abs]
    GTreeNodeBase [Childs=0] - [[1.42, 'OrigBetweenness']]
  GTreeNodeBase [Childs=2] - [T]
    GTreeNodeBase [Childs=2] - [/]
      GTreeNodeBase [Childs=2] - [-]
        GTreeNodeBase [Childs=2] - [<]
          GTreeNodeBase [Childs=2] - [/]
            GTreeNodeBase [Childs=0] - [[3.8, 'CommonNeighbors']]
            GTreeNodeBase [Childs=0] - [[6.32, 'NormalizedTargId']]
          GTreeNodeBase [Childs=2] - [abs]
            GTreeNodeBase [Childs=0] - [[6.28, 'TargCoreN']]
        GTreeNodeBase [Childs=0] - [[4.6, 'TargDegree']]
      GTreeNodeBase [Childs=2] - [*]
        GTreeNodeBase [Childs=0] - [[6.39, 'TargDegree']]
        GTreeNodeBase [Childs=2] - [abs]
          GTreeNodeBase [Childs=0] - [[8.17, 'SameCommunity']]
","
GTreeNodeBase [Childs=2] - [inv]
  GTreeNodeBase [Childs=0] - [[9.02, 'OrigId']]
","
GTreeNodeBase [Childs=2] - [inv]
  GTreeNodeBase [Childs=0] - [[9.02, 'OrigId']]
"
2006,L,"
GTreeNodeBase [Childs=0] - [[11.89, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=0] - [[7.58, 'Loop']]
","
GTreeNodeBase [Childs=0] - [[8.41, 'Loop']]
","
GTreeNodeBase [Childs=0] - [[4.2, 'Loop']]
"
2006,T,"
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[2.27, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[2.27, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[2.27, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [exp]
  GTreeNodeBase [Childs=0] - [[2.27, 'CommonNeighbors']]
"
2006,TL,"
GTreeNodeBase [Childs=0] - [[4.01, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=0] - [[2.96, 'Loop']]
","
GTreeNodeBase [Childs=0] - [[4.01, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=0] - [[0.71, 'Loop']]
"
2007,A,"
GTreeNodeBase [Childs=0] - [[0.22, 'TargBetweenness']]
","
GTreeNodeBase [Childs=0] - [[0.22, 'TargBetweenness']]
","
GTreeNodeBase [Childs=0] - [[13.36, 'TargBetweenness']]
","
GTreeNodeBase [Childs=0] - [[13.36, 'TargBetweenness']]
"
2007,B,"
GTreeNodeBase [Childs=2] - [>]
  GTreeNodeBase [Childs=2] - [/]
    GTreeNodeBase [Childs=2] - [N]
      GTreeNodeBase [Childs=2] - [/]
        GTreeNodeBase [Childs=2] - [H]
          GTreeNodeBase [Childs=2] - [inv]
            GTreeNodeBase [Childs=0] - [[6.2, 'OrigPagerank']]
        GTreeNodeBase [Childs=2] - [=]
          GTreeNodeBase [Childs=2] - [abs]
            GTreeNodeBase [Childs=0] - [[3.04, 'CommonNeighbors']]
          GTreeNodeBase [Childs=0] - [[7.37, 'OrigCoreN']]
    GTreeNodeBase [Childs=0] - [[0.77, 'TargId']]
  GTreeNodeBase [Childs=2] - [/]
    GTreeNodeBase [Childs=2] - [abs]
      GTreeNodeBase [Childs=2] - [/]
        GTreeNodeBase [Childs=0] - [[3.44, 'NormalizedOrigDegree']]
        GTreeNodeBase [Childs=2] - [T]
          GTreeNodeBase [Childs=0] - [[0.17, 'NormalizedTargId']]
    GTreeNodeBase [Childs=2] - [>]
      GTreeNodeBase [Childs=2] - [inv]
        GTreeNodeBase [Childs=2] - [/]
          GTreeNodeBase [Childs=0] - [[2.51, 'Loop']]
          GTreeNodeBase [Childs=0] - [[0.42, 'Distance']]
      GTreeNodeBase [Childs=0] - [[3.45, 'Loop']]
","
GTreeNodeBase [Childs=2] - [>]
  GTreeNodeBase [Childs=2] - [/]
    GTreeNodeBase [Childs=2] - [/]
      GTreeNodeBase [Childs=2] - [max]
        GTreeNodeBase [Childs=0] - [[5.33, 'TargCloseness']]
        GTreeNodeBase [Childs=2] - [N]
          GTreeNodeBase [Childs=0] - [[7.83, 'NormalizedTargDegree']]
      GTreeNodeBase [Childs=2] - [min]
        GTreeNodeBase [Childs=0] - [[3.16, 'NormalizedOrigId']]
        GTreeNodeBase [Childs=2] - [<]
          GTreeNodeBase [Childs=0] - [[3.22, 'RevDistance']]
          GTreeNodeBase [Childs=0] - [[7.75, 'TargCloseness']]
    GTreeNodeBase [Childs=2] - [=]
      GTreeNodeBase [Childs=2] - [abs]
        GTreeNodeBase [Childs=2] - [=]
          GTreeNodeBase [Childs=0] - [[0.53, 'OrigId']]
          GTreeNodeBase [Childs=0] - [[6.5, 'Loop']]
      GTreeNodeBase [Childs=2] - [/]
        GTreeNodeBase [Childs=0] - [[5.33, 'TargCloseness']]
        GTreeNodeBase [Childs=2] - [N]
          GTreeNodeBase [Childs=2] - [abs]
            GTreeNodeBase [Childs=0] - [[3.45, 'TargDegree']]
  GTreeNodeBase [Childs=0] - [[2.68, 'TargId']]
","
GTreeNodeBase [Childs=2] - [>]
  GTreeNodeBase [Childs=0] - [[2.6, 'Random']]
  GTreeNodeBase [Childs=0] - [[0.77, 'TargId']]
","
GTreeNodeBase [Childs=2] - [opp]
  GTreeNodeBase [Childs=0] - [[1.74, 'OrigCoreN']]
"
2007,C,"
GTreeNodeBase [Childs=0] - [[1.51, 'CommonNeighbors']]
","
GTreeNodeBase [Childs=2] - [opp]
  GTreeNodeBase [Childs=0] - [[5.24, 'TargBetweenness']]
","
GTreeNodeBase [Childs=2] - [opp]
  GTreeNodeBase [Childs=0] - [[5.24, 'TargBetweenness']]
","
GTreeNodeBase [Childs=2] - [opp]
  GTreeNodeBase [Childs=0] - [[8.06, 'TargId']]
"
